titulo,titulo_espanol,sinopsis
"Singin' in the Rain","Cantando bajo la Lluvia","Una productora de cine mudo y su elenco hacen una difícil transición al sonido."
"It's a Wonderful Life","¡Qué Bello es Vivir!","Un ángel es enviado del Cielo para ayudar a un hombre de negocios desesperadamente frustrado mostrándole cómo habría sido la vida si nunca hubiera existido."
"Schindler's List","La Lista de Schindler","En la Polonia ocupada por los alemanes durante la Segunda Guerra Mundial, el industrial Oskar Schindler se preocupa gradualmente por su fuerza laboral judía después de presenciar su persecución por los nazis."
"One Flew Over the Cuckoo's Nest","Alguien Voló sobre el Nido del Cuco","Un criminal se declara loco y es admitido en una institución mental, donde se rebela contra la enfermera opresiva y moviliza a los pacientes asustados."
"The Good, the Bad and the Ugly","El Bueno, el Feo y el Malo","Un cazarrecompensas se une a dos hombres en una alianza incómoda contra un tercero para encontrar una fortuna en oro enterrada en un remoto cementerio."
"Once Upon a Time in the West","Érase una Vez en el Oeste","Un misterioso extraño con una armónica se une a un notorio forajido para proteger a una hermosa viuda de un asesino despiadado que trabaja para el ferrocarril."
"High Noon","Solo ante el Peligro","Un mariscal de la ciudad debe enfrentarse a una banda de asesinos solo después de que la gente del pueblo que juró proteger lo abandone."
"Butch Cassidy and the Sundance Kid","Dos Hombres y un Destino","Dos líderes de una banda de forajidos huyen a Bolivia cuando la ley se acerca a ellos."
"The Sting","El Golpe","Dos estafadores se unen para llevar a cabo la estafa definitiva contra un jefe de la mafia despiadado."
"Rocky","Rocky","Un boxeador de poca monta de Filadelfia tiene la oportunidad, que ocurre una vez en la vida, de luchar por el campeonato de peso pesado."
"Rocky II","Rocky II","Rocky Balboa se enfrenta a una revancha contra Apollo Creed mientras lucha por adaptarse a la vida fuera del ring."
"Rocky III","Rocky III","Rocky enfrenta al desafiante Clubber Lang mientras lidia con la pérdida de su entrenador Mickey."
"Rocky IV","Rocky IV","Rocky viaja a la Unión Soviética para luchar contra el implacable boxeador ruso Ivan Drago."
"Raging Bull","Toro Salvaje","La historia de un boxeador de peso mediano mientras su rabia autodestructiva lo lleva a la cima en el ring y destruye su vida fuera de él."
"Braveheart","Corazón Valiente","El guerrero escocés William Wallace lidera a sus compatriotas en una rebelión para liberar a su patria del tirano rey Eduardo I de Inglaterra."
"Dances with Wolves","Bailando con Lobos","El teniente John Dunbar, asignado a un puesto remoto de la frontera occidental, se hace amigo de los lobos y los indios, lo que lo convierte en un paria entre los suyos."
"Unforgiven","Sin Perdón","El pistolero retirado William Munny acepta a regañadientes un último trabajo, con la ayuda de su viejo compañero y un joven."
"L.A. Confidential","L.A. Confidencial","A medida que la corrupción crece en Los Ángeles de la década de 1950, tres policías, uno recto, uno brutal y uno sórdido, investigan una serie de asesinatos con su propia marca de justicia."
"Chinatown","Chinatown","Un detective privado contratado para exponer a un adúltero se encuentra atrapado en una red de engaño, corrupción y asesinato."
"The French Connection","Contra el Imperio de la Droga","Un par de detectives de narcóticos de Nueva York tropiezan con una red de contrabando de drogas con sede en Francia."
"Dirty Harry","Harry el Sucio","El inspector de policía de San Francisco 'Harry el Sucio' Callahan intenta localizar a un psicópata francotirador."
"Bullitt","Bullitt","Un senador ambicioso intenta acabar con un jefe de la mafia con la ayuda de un duro detective de San Francisco."
"The Great Escape","La Gran Evasión","Los prisioneros de guerra aliados planean una fuga masiva de un campo de prisioneros de guerra alemán durante la Segunda Guerra Mundial."
"Ben-Hur","Ben-Hur","Cuando un príncipe judío es traicionado y enviado a la esclavitud por un amigo romano, recupera su libertad y regresa para vengarse."
"The Ten Commandments","Los Diez Mandamientos","La vida de Moisés, desde que fue descubierto en los juncos del Nilo como un bebé por la hija del faraón, hasta su papel en la liberación de los hebreos de la esclavitud en Egipto."
"Spartacus","Espartaco","La historia del esclavo Espartaco, el gladiador que lideró una violenta revuelta contra la decadente República Romana."
"Paths of Glory","Senderos de Gloria","Cuando los soldados se niegan a continuar con un ataque suicida durante la Primera Guerra Mundial, su oficial al mando debe defenderlos."
"All About Eve","Eva al Desnudo","Una estrella de Broadway aparentemente ingenua, Eve Harrington, se entromete en la vida de Margo Channing, una actriz envejecida y el ídolo de Eve."
"Some Like It Hot","Con Faldas y a lo Loco","Cuando dos músicos son testigos de un golpe de la mafia, huyen del estado en una banda de mujeres disfrazadas de mujeres, pero surgen más complicaciones."
"North by Northwest","Con la Muerte en los Talones","Un ejecutivo de publicidad de la ciudad de Nueva York se encuentra perseguido por todo el país por un grupo de espías extranjeros después de que lo confunden con un agente del gobierno."
"Rear Window","La Ventana Indiscreta","Un fotógrafo en silla de ruedas espía a sus vecinos desde la ventana de su apartamento y se convierte de que uno de ellos ha cometido un asesinato."
"Dial M for Murder","Crimen Perfecto","Un extenista lleva a cabo un elaborado plan para asesinar a su esposa después de descubrir que le es infiel."
"Strangers on a Train","Extraños en un Tren","Un psicópata obliga a un tenista estrella a cumplir su parte de un acuerdo de asesinato mutuo."
"The Maltese Falcon","El Halcón Maltés","Un detective privado de San Francisco se enfrenta a tres aventureros sin escrúpulos que compiten por una estatuilla de halcón de valor incalculable."
"The Treasure of the Sierra Madre","El Tesoro de Sierra Madre","Dos estadounidenses que buscan trabajo en México convencen a un viejo prospector para que los ayude a buscar oro en las remotas montañas de la Sierra Madre."
"The African Queen","La Reina de África","En África durante la Primera Guerra Mundial, el capitán de un barco fluvial es persuadido por una misionera metodista para que use su barco para atacar una cañonera alemana."
"An American in Paris","Un Americano en París","Tres amigos luchan por encontrar trabajo en París. Las cosas se complican cuando dos de ellos se enamoran de la misma mujer."
"Gigi","Gigi","Cansada de la sociedad de principios del siglo XX en París, una cortesana en formación cultiva una amistad platónica con un playboy adinerado, pero el amor pronto complica las cosas."
"My Fair Lady","My Fair Lady","A principios del siglo XX en Londres, un profesor de fonética snob acepta una apuesta de que puede transformar a una engreída chica de las flores de Cockney en un miembro de la alta sociedad."
"The Sound of Music","Sonrisas y Lágrimas","Una joven abandona un convento austriaco para convertirse en institutriz de los hijos de un oficial naval viudo."
"West Side Story","Amor sin Barreras","Dos jóvenes de bandas callejeras rivales de Nueva York se enamoran, pero las tensiones entre sus respectivos amigos aumentan hacia la tragedia."
"Mary Poppins","Mary Poppins","En la Inglaterra eduardiana, una niñera mágica llega a la casa de un banquero de mal humor para cuidar a sus dos hijos."
"Doctor Zhivago","Doctor Zhivago","La vida de un médico y poeta ruso que, aunque casado con otra, se enamora de la esposa de un activista político durante la Revolución Rusa."
"The Apartment","El Apartamento","Un hombre intenta ascender en su empresa dejando que los ejecutivos usen su apartamento para sus aventuras amorosas, pero sus planes se tuercen cuando se enamora de la amante de su jefe."
"Annie Hall","Annie Hall","El comediante neurótico de Nueva York, Alvy Singer, se enamora de la epónima Annie Hall."
"Manhattan","Manhattan","La vida de un escritor de televisión divorciado que sale con una adolescente se complica aún más cuando se enamora de la amante de su mejor amigo."
"Hannah and Her Sisters","Hannah y sus Hermanas","Entre dos Días de Acción de Gracias, el esposo de Hannah se enamora de su hermana Lee, mientras que su ex esposo hipocondríaco reaviva su relación con su hermana Holly."
"Crimes and Misdemeanors","Crímenes y Pecados","Un oftalmólogo respetado arriesga su reputación para proteger un secreto, mientras que un documentalista lucha por financiar su proyecto más reciente."
"When Harry Met Sally...","Cuando Harry conoció a Sally","Harry y Sally se conocen desde hace años y son muy buenos amigos, pero temen que el sexo arruine su amistad."
"Sleepless in Seattle","Algo para Recordar","El hijo de un viudo llama a un programa de radio en un intento por encontrarle una pareja a su padre."
"You've Got Mail","Tienes un E-mail","Dos rivales de negocios que se desprecian en la vida real se enamoran sin saberlo por Internet."
"Pretty Woman","Mujer Bonita","Un hombre de negocios rico y poderoso contrata a una acompañante de Hollywood para que lo acompañe a algunas funciones sociales y se enamora de ella."
"Notting Hill","Notting Hill","La vida de un simple dueño de una librería cambia cuando conoce a la estrella de cine más famosa del mundo."
"Four Weddings and a Funeral","Cuatro Bodas y un Funeral","Durante el transcurso de cinco encuentros sociales, un soltero comprometido debe decidir si ha encontrado el amor."
"Love Actually","Love Actually","Sigue la vida de ocho parejas muy diferentes que lidian con sus vidas amorosas en varios cuentos vagamente interrelacionados, todos ambientados durante un frenético mes antes de Navidad en Londres, Inglaterra."
"Bridget Jones's Diary","El Diario de Bridget Jones","Una mujer británica está decidida a mejorar y busca el amor mientras lleva un diario personal."
"The Devil Wears Prada","El Diablo viste de Prada","Una recién graduada inteligente pero sensata consigue un trabajo como asistente de la exigente editora de una importante revista de moda."
"Mean Girls","Chicas Pesadas","Cady Heron es un éxito entre The Plastics, el grupo de chicas de A-list en su nueva escuela, hasta que comete el error de enamorarse del ex novio de la alfa Plastic, Aaron Samuels."
"Clueless","Tontas y Tontos","Una chica rica y popular de Beverly Hills intenta aumentar la popularidad de una nueva estudiante."
"Legally Blonde","Legalmente Rubia","Elle Woods, una chica de hermandad de moda, es abandonada por su novio. Decide seguirlo a la facultad de derecho. Mientras está allí, se da cuenta de que hay más en ella que solo su apariencia."
"The Princess Bride","La Princesa Prometida","Mientras está enfermo en la cama, un niño escucha a su abuelo leerle la historia de un peón convertido en pirata que se encuentra con varios obstáculos, enemigos y aliados en su búsqueda para reunirse con su verdadero amor."
"Groundhog Day","El Día de la Marmota","Un meteorólogo se encuentra reviviendo el mismo día una y otra vez."
"Ghostbusters","Los Cazafantasmas","Tres ex parapsicólogos abren un servicio único de eliminación de fantasmas en la ciudad de Nueva York."
"Ghostbusters: Afterlife","Cazafantasmas: El Legado","Una madre soltera y sus dos hijos se mudan a una pequeña ciudad donde descubren su conexión con los cazafantasmas originales."
"Ferris Bueller's Day Off","El Gran Aventurero","Un estudiante de secundaria decidido a tener un día libre de la escuela se embarca en una aventura por Chicago con su novia y su mejor amigo."
"The Breakfast Club","El Club de los Cinco","Cinco estudiantes de secundaria se reúnen en la detención del sábado y descubren que tienen mucho más en común de lo que pensaban."
"Sixteen Candles","Seisteen Candles","El decimosexto cumpleaños de una chica se vuelve todo menos dulce cuando su familia olvida la ocasión y ella sufre más humillaciones."
"Home Alone","Solo en Casa","Un niño ingenioso de ocho años que es olvidado accidentalmente cuando su familia se va de vacaciones de Navidad debe proteger su casa de un par de ladrones."
"Home Alone 2: Lost in New York","Solo en Casa 2: Perdido en Nueva York","Kevin McCallister se encuentra solo en Nueva York, donde se enfrenta a sus viejos enemigos."
"Mrs. Doubtfire","Señora Doubtfire","Después de un amargo divorcio, un actor se disfraza de ama de llaves para pasar tiempo con sus hijos."
"Jumanji","Jumanji","Cuando dos niños encuentran y juegan a un juego de mesa mágico, liberan a un hombre que ha estado atrapado en él durante décadas, y a una gran cantidad de peligros que solo pueden detenerse terminando el juego."
"Jumanji: Welcome to the Jungle","Jumanji: Bienvenidos a la Jungla","Cuatro adolescentes son absorbidos por un videojuego Jumanji y deben completar la aventura para escapar."
"The Mask","La Máscara","Un empleado de banco con mala suerte se transforma en un maníaco superhéroe cuando usa una máscara misteriosa."
"Dumb and Dumber","Tontos y Más Tontos","Después de que un par de amigos bien intencionados pero increíblemente estúpidos son despedidos de sus trabajos, se embarcan en un viaje a través del país para devolver una maleta llena de dinero a su dueña."
"Ace Ventura: Pet Detective","Ace Ventura: Detective de Mascotas","Un detective de mascotas chiflado sale de su retiro para encontrar la mascota desaparecida de los Miami Dolphins."
"Ace Ventura: When Nature Calls","Ace Ventura: Operación África","Ace Ventura viaja a África para encontrar una rara mascota tribal."
"Wayne's World","Wayne's World","Dos amigos holgazanes amantes del rock and roll intentan promocionar su programa de televisión de acceso público."
"Austin Powers: International Man of Mystery","Austin Powers: Internacional","Un espía británico de la década de 1960 es devuelto a la vida para detener a su némesis en la década de 1990."
"Austin Powers: The Spy Who Shagged Me","Austin Powers: La Espía que me Achuchó","Austin Powers viaja en el tiempo para recuperar su mojo robado por el Dr. Maligno."
"Men in Black","Hombres de Negro","Una agencia secreta del gobierno vigila la vida extraterrestre en la Tierra."
"Men in Black II","Hombres de Negro II","El agente J necesita reunir a su antiguo compañero para detener a una amenaza alienígena."
"Men in Black 3","Hombres de Negro 3","El agente J viaja en el tiempo para salvar a su compañero K y cambiar la historia."
"Independence Day","Independence Day","Los extraterrestres vienen a la Tierra y su intención es destruir. En una carrera contra el tiempo, el mundo se une por una última oportunidad de supervivencia."
"Independence Day: Resurgence","Independence Day: Contraataque","Dos décadas después del primer ataque alienígena, la humanidad debe unirse nuevamente cuando los extraterrestres regresan con tecnología más avanzada."
"Armageddon","Armageddon","Después de descubrir que un asteroide del tamaño de Texas va a impactar la Tierra en menos de un mes, la NASA recluta a un equipo de perforadores de núcleo profundo para salvar el planeta."
"Twister","Twister","Cazadores de tormentas, al borde del divorcio, deben unirse para crear un sistema avanzado de alerta meteorológica poniéndose directamente en el camino de tornados extremadamente violentos."
"Speed","Speed","Un joven policía debe evitar que una bomba explote en un autobús urbano manteniendo su velocidad por encima de las 50 mph."
"Point Break","Point Break","Un agente del FBI se infiltra para atrapar a una banda de surfistas que pueden ser ladrones de bancos."
"The Rock","La Roca","Un químico del FBI y un ex convicto deben liderar una incursión en la isla de Alcatraz para detener a un general renegado que amenaza a la bahía de San Francisco con misiles de gas nervioso."
"Con Air","Con Air","Un grupo de convictos recién liberados toman el control de su avión de transporte y se ven obligados a confiar en el único hombre que queda a bordo, un ex Ranger del Ejército con libertad condicional, para que los lleve a un lugar seguro."
"Face/Off","Face/Off","Para frustrar un complot terrorista, un agente del FBI se somete a una cirugía de trasplante de cara y asume la identidad del autor intelectual criminal que está en coma."
"Mission: Impossible","Misión: Imposible","Un agente estadounidense, bajo falsa sospecha de deslealtad, debe descubrir y exponer al verdadero espía sin la ayuda de su organización."
"Mission: Impossible II","Misión: Imposible 2","Ethan Hunt debe encontrar y destruir un virus genéticamente modificado creado por un ex agente renegado."
"Mission: Impossible III","Misión: Imposible 3","Ethan Hunt debe enfrentarse a un despiadado traficante de armas que amenaza con matar a la novia de Hunt si no recupera un arma peligrosa."
"Mission: Impossible - Ghost Protocol","Misión: Imposible - Protocolo Fantasma","Ethan Hunt y su equipo son desautorizados cuando son acusados de bombardear el Kremlin."
"Mission: Impossible - Rogue Nation","Misión: Imposible - Nación Secreta","Ethan Hunt y su equipo deben destruir el Sindicato, una organización de agentes especiales entrenados que se han vuelto renegados."
"Mission: Impossible - Fallout","Misión: Imposible - Repercusión","Ethan Hunt y su equipo se unen a un asesino despiadado para evitar que un terrorista obtenga plutonio para armas nucleares."
"Top Gun","Top Gun: Ídolos del Aire","Mientras los estudiantes de la escuela de armas de combate de élite de la Marina de los Estados Unidos compiten para ser los mejores de la clase, un joven piloto audaz aprende algunas cosas de un instructor civil que no se enseñan en el aula."
"Top Gun: Maverick","Top Gun: Maverick","Después de más de treinta años de servicio, Pete 'Maverick' Mitchell es quien lleva a cabo las misiones más peligrosas y entrena a un grupo de graduados de Top Gun."
"Beverly Hills Cop","Superdetective en Hollywood","Un policía de Detroit astuto y bromista que investiga el asesinato de su mejor amigo se encuentra lidiendo con el mundo muy diferente de Beverly Hills."
"Lethal Weapon","Arma Mortal","Dos policías de Los Ángeles recién emparejados, uno un veterano y el otro propenso a tendencias suicidas, deben dejar de lado sus diferencias para atrapar a una banda de narcotraficantes."
"Lethal Weapon 2","Arma Mortal 2","Riggs y Murtaugh investigan el lavado de dinero de los sudafricanos, pero están protegidos por la inmunidad diplomática."
"Predator","Depredador","Un equipo de comandos en una misión en una jungla centroamericana se encuentra cazado por un guerrero extraterrestre."
"Predator 2","Depredador 2","Un teniente de policía de Los Ángeles y su equipo se enfrentan a un cazador alienígena en los tejados de la ciudad."
"RoboCop","RoboCop","En una Detroit distópica y plagada de crímenes, un policía asesinado brutalmente regresa al servicio como un poderoso cyborg atormentado por vagos recuerdos de su vida pasada."
"Total Recall","El Vengador del Futuro","Cuando un hombre se somete a un viaje virtual a la memoria de Marte, una serie de eventos inesperada y sorprendente lo obliga a ir al planeta de verdad, o ¿es así?"
"Starship Troopers","Las Brigadas del Espacio","Los humanos en una sociedad fascista y militarista luchan una guerra interestelar contra una especie de insectos."
"The Fifth Element","El Quinto Elemento","En el colorido futuro, un taxista, sin saberlo, se convierte en la figura central en la búsqueda de un arma cósmica legendaria para mantener a raya al Mal y al Sr. Zorg."
"Leon: The Professional","Léon: El Profesional","Un asesino a sueldo acepta proteger a una niña de 12 años cuya familia fue asesinada por un agente corrupto de la DEA."
"The Sixth Sense","El Sexto Sentido","Un niño psicólogo intenta ayudar a un niño que puede ver y comunicarse con los muertos."
"The Usual Suspects","Los Sospechosos Habituales","Un barco es atacado y la única superviviente ayuda a la policía a identificar a los sospechosos, pero nada es lo que parece."
"American Beauty","American Beauty","Un hombre de mediana edad experimenta una crisis existencial y se obsesiona con la amiga de la escuela secundaria de su hija."
"American History X","American History X","Un ex skinhead neo-nazi intenta evitar que su hermano pequeño siga sus pasos violentos y racistas."
"Donnie Darko","Donnie Darko","Un adolescente problemático es visitado por una figura en un traje de conejo que lo manipula para cometer una serie de crímenes."
"The Butterfly Effect","El Efecto Mariposa","Un joven descubre que puede viajar atrás en el tiempo y cambiar eventos de su pasado, pero cada cambio tiene consecuencias inesperadas."
"V for Vendetta","V de Vendetta","En una futura Gran Bretaña totalitaria, un misterioso revolucionario llamado V intenta derrocar el gobierno con la ayuda de una joven mujer."
"Watchmen","Watchmen","En una historia alternativa donde los superhéroes son tratados como proscritos, un asesinato pone en marcha una conspiración que podría cambiar el mundo."
"Sin City","Sin City","Varias historias criminales se entrelazan en la corrupta y violenta Basin City."
"300","300","El rey Leónidas y 300 espartanos luchan hasta la muerte contra el ejército persa de Jerjes I en las Termópilas."
"Gladiator","Gladiador","Un exgeneral romano se propone vengarse del emperador corrupto que asesinó a su familia y lo envió a la esclavitud."
"Troy","Troya","Una adaptación de la Ilíada de Homero sobre el asedio de la ciudad de Troya por una alianza griega."
"Kingdom of Heaven","El Reino de los Cielos","Un herrero francés viaja a Jerusalén durante las Cruzadas y se convierte en el defensor de su pueblo."
"Robin Hood","Robin Hood","La historia del legendario arquero que roba a los ricos para dárselo a los pobres."
"King Arthur","El Rey Arturo","Una versión más histórica de la leyenda del Rey Arturo y los Caballeros de la Mesa Redonda."
"The Last Samurai","El Último Samurái","Un capitán estadounidense es capturado por samuráis en el Japón del siglo XIX y adopta su estilo de vida."
"Apocalypto","Apocalypto","En el declive de la civilización maya, un joven hombre emprende un peligroso viaje para salvar a su familia."
"The Revenant","El Renacido","Un explorero del siglo XIX es atacado por un oso y dejado por muerto, pero sobrevive para buscar venganza."
"Mad Max: Fury Road","Mad Max: Furia en el Camino","En un páramo postapocalíptico, una mujer se rebela contra un gobernante tiránico en busca de su tierra natal con la ayuda de un vagabundo llamado Max."
"Children of Men","Hijos de los Hombres","En un futuro distópico donde la humanidad se ha vuelto infértil, un hombre debe proteger a la única mujer embarazada."
"District 9","Distrito 9","Un extraterrestre varado en la Tierra se ve obligado a vivir en condiciones de apartheid en Sudáfrica."
"Moon","Moon","Un astronauta que trabaja solo en una base lunar descubre que no está solo y que su realidad no es lo que parece."
"Source Code","Código Fuente","Un soldado despierta en el cuerpo de un extraño y descubre que forma parte de un programa experimental para encontrar al bombardero de un tren."
"Looper","Asesino del Futuro","Asesinos viajan en el tiempo para eliminar objetivos, pero las cosas se complican cuando uno recibe como objetivo a su yo futuro."
"Edge of Tomorrow","Al Filo del Mañana","Un oficial militar es atrapado en un bucle de tiempo mientras lucha contra una raza alienígena."
"Gravity","Gravedad","Dos astronautas quedan varados en el espacio después de que su transbordador es destruido."
"The Martian","Marte","Un astronauta es dado por muerto en Marte y debe usar su ingenio para sobrevivir y encontrar una manera de comunicarse con la Tierra."
"Arrival","La Llegada","Una lingüista trabaja con el ejército para comunicarse con formas de vida extraterrestres después de que doce misteriosas naves espaciales aparecen en todo el mundo."
"Annihilation","Aniquilación","Una bióloga se une a una expedición a una zona misteriosa donde las leyes de la naturaleza no se aplican."
"Ex Machina","Ex Machina","Un programador es seleccionado para participar en un experimento con una IA humanoide altamente avanzada."
"Her","Her","En un futuro cercano, un escritor solitario desarrolla una relación improbable con un sistema operativo diseñado para satisfacer todas sus necesidades."
"Blade Runner 2049","Blade Runner 2049","Un nuevo blade runner, oficial K, descubre un secreto profundamente enterrado que tiene el potencial de sumir en el caos a lo que queda de la sociedad."
"Dune","Dune","El hijo de una familia noble es enviado a un planeta desértico peligroso para asegurar el futuro de su pueblo."
"Dune: Part Two","Dune: Parte Dos","Paul Atreides se une a los Fremen y comienza un viaje espiritual y marcial para convertirse en Muad'Dib."
"The Social Network","La Red Social","La historia de la creación de Facebook y las batallas legales que siguieron."
"The Wolf of Wall Street","El Lobo de Wall Street","La historia real de Jordan Belfort, un corredor de bolsa que se hizo rico mediante el fraude y la corrupción."
"American Psycho","American Psycho","Un ejecutivo de Wall Street lleva una doble vida como asesino en serie por la noche."
"Fight Club","El Club de la Pelea","Un oficinista insomne y un fabricante de jabón forman un club de lucha clandestino que evoluciona hacia algo mucho más grande."
"American Gangster","Gánster Americano","La historia del narcotraficante Frank Lucas y del detective Richie Roberts que intenta derribar su imperio."
"Scarface","Scarface","Un refugiado cubano se eleva en el mundo del crimen organizado en Miami durante la era de los años 80."
"Carlito's Way","Carlito's Way","Un gánster puertorriqueño sale de prisión decidido a mantenerse alejado del crimen, pero es arrastrado de vuelta."
"The Godfather: Part III","El Padrino: Parte III","Michael Corleone, envejecido, busca redimirse convirtiéndose en un hombre de negocios legítimo."
"A Bronx Tale","Un Cuento del Bronx","Un niño se debate entre la influencia de su padre trabajador y un gánster del barrio."
"Donnie Brasco","Donnie Brasco","Un agente del FBI se infiltra en la mafia, pero se encuentra cada vez más identificado con el estilo de vida criminal."
"The Departed","Los Infiltrados","Una investigación encubierta en el sur de Boston sobre una pandilla irlandesa-estadounidense se convierte en una carrera para descubrir las identidades de un topo y un informante."
"Infernal Affairs","Infernal Affairs","Un policía encubierto y un espía en la fuerza policial intentan identificarse mutuamente mientras se infiltran en la mafia y la policía."
"Training Day","Training Day","Un día en la vida de un policía corrupto de Los Ángeles y su nuevo compañero."
"End of Watch","Fin de la Guardia","Dos policías patrullan las calles de Los Ángeles y documentan su vida diaria."
"Street Kings","Street Kings","Un policía veterano es investigado por asesinato mientras intenta limpiar su nombre."
"Harsh Times","Tiempos Violentos","Un ex soldado y su amigo se enfrentan a la vida en las peligrosas calles de Los Ángeles."
"The Town","The Town","Un grupo de ladrones de bancos planea su último golpe en Boston."
"Heat","Heat","Un detective y un ladrón profesional se enfrentan en un juego del gato y el ratón en Los Ángeles."
"Collateral","Collateral","Un taxista se ve obligado a conducir a un asesino a sueldo durante una noche de asesinatos en Los Ángeles."
"Man on Fire","Hombre en Llamas","Un ex agente de la CIA se convierte en guardaespaldas de una niña en la Ciudad de México y busca venganza cuando ella es secuestrada."
"Taken","Venganza","Un ex agente de la CIA viaja por Europa para salvar a su hija de una red de trata de blancas."
"John Wick","John Wick","Un ex asesino sale de su retiro para buscar venganza contra los hombres que mataron a su perro y robaron su coche."
"John Wick: Chapter 2","John Wick: Capítulo 2","John Wick es forzado a salir de su retiro por un juramento de sangre, llevándolo a Roma para enfrentarse a algunos de los asesinos más peligrosos del mundo."
"John Wick: Chapter 3 - Parabellum","John Wick: Capítulo 3 - Parabellum","John Wick está en fuga con una recompensa de 14 millones de dólares por su cabeza después de matar a un miembro del gremio internacional de asesinos."
"John Wick: Chapter 4","John Wick: Capítulo 4","John Wick descubre un camino para derrotar a la Alta Mesa, pero debe enfrentarse a un nuevo enemigo con poderosas alianzas en todo el mundo."
"The Equalizer","El Protector","Un hombre que cree haber dejado atrás su misterioso pasado no puede quedarse de brazos cruzados cuando conoce a una joven bajo el control de mafiosos rusos."
"The Bourne Identity","El Caso Bourne","Un hombre con amnesia descubre que es un agente altamente entrenado de un programa secreto del gobierno."
"The Bourne Supremacy","El Mitin de Bourne","Jason Bourne es acusado de un crimen que no cometió y debe descubrir la verdad mientras es perseguido por la CIA."
"The Bourne Ultimatum","El Ultimátum de Bourne","Jason Bourne se acerca a la verdad sobre su pasado mientras una nueva generación de agentes altamente entrenados lo persiguen."
"Salt","Salt","Una agente de la CIA es acusada de ser una espía rusa y debe usar sus habilidades para evitar ser capturada."
"Atomic Blonde","Atomic Blonde","Una espía de alto nivel es enviada a Berlín durante la Guerra Fría para investigar el asesinato de un agente y recuperar una lista de dobles agentes."
"Red Sparrow","Red Sparrow","Una bailarina de ballet rusa es reclutada para ser una 'gorrión', una espía altamente entrenada que usa el sexo como arma."
"Hanna","Hanna","Una joven criada en el desierto por su padre ex agente de la CIA debe usar sus habilidades de combate para escapar de una agente de inteligencia."
"Lucy","Lucy","Una mujer adquiere habilidades sobrehumanas cuando una droga experimental se filtra en su torrente sanguíneo."
"Underworld","Underworld","Una guerra secreta entre vampiros y hombres lobo es descubierta por una humana atrapada en medio de la batalla."
"Underworld: Evolution","Underworld: Evolución","Selene y Michael descubren los orígenes de la guerra entre vampiros y hombres lobo."
"Resident Evil","Resident Evil","Un equipo de comando se infiltra en una instalación secreta donde un virus ha convertido a los científicos en zombis."
"Resident Evil: Apocalypse","Resident Evil: Apocalipsis","Alice se une a sobrevivientes y un agente de la Umbrella Corporation para escapar de Raccoon City antes de que sea destruida."
"Resident Evil: Extinction","Resident Evil: Extinción","Alice viaja a través del desierto de Nevada en un mundo postapocalíptico lleno de zombis."
"Resident Evil: Afterlife","Resident Evil: Afterlife","Alice busca sobrevivientes en Los Ángeles mientras continúa su batalla contra la Corporación Umbrella."
"Resident Evil: Retribution","Resident Evil: Retribución","Alice es capturada y debe escapar de una instalación de la Umbrella Corporation en el Ártico."
"Resident Evil: The Final Chapter","Resident Evil: Capítulo Final","Alice regresa a Raccoon City para destruir a la Corporación Umbrella de una vez por todas."
"World War Z","Guerra Mundial Z","Un ex investigador de la ONU viaja por el mundo en una carrera contra el tiempo para detener una pandemia de zombis."
"28 Days Later","28 Días Después","Un mensajero se despierta de un coma para encontrar Londres devastado por un virus que convierte a las personas en zombis violentos."
"28 Weeks Later","28 Semanas Después","Los estadounidenses intentan reconstruir Londres después del brote, pero el virus regresa."
"Dawn of the Dead","El Amanecer de los Muertos","Un grupo de sobrevivientes se refugia en un centro comercial durante un apocalipsis zombi."
"Shaun of the Dead","Zombies Party","Un hombre intenta salvar a su madre y a su novia durante un apocalipsis zombi en Londres."
"Zombieland","Zombieland","Un grupo de sobrevivientes viaja a través de los Estados Unidos en un mundo postapocalíptico lleno de zombis."
"Zombieland: Double Tap","Zombieland: Mata y Remata","Los sobrevivientes enfrentan nuevas variedades de zombis mientras viajan por los Estados Unidos."
"The Walking Dead","The Walking Dead","Un grupo de sobrevivientes viaja a través de los Estados Unidos en un mundo postapocalíptico lleno de zombis."
"I Am Legend","Soy Leyenda","El único superviviente en la ciudad de Nueva York lucha contra criaturas mutantes en un mundo postapocalíptico."
"The Omega Man","El Último Hombre... Vivo","Un científico es uno de los pocos supervivientes de una guerra biológica y es cazado por mutantes."
"Planet of the Apes","El Planeta de los Simios","Un astronauta aterriza en un planeta donde los simios inteligentes dominan a los humanos."
"Rise of the Planet of the Apes","El Origen del Planeta de los Simios","Un científico crea un virus que da inteligencia a los simios, lo que lleva a su rebelión."
"Dawn of the Planet of the Apes","El Amanecer del Planeta de los Simios","Los simios inteligentes y los humanos sobrevivientes se enfrentan por el control del planeta."
"War for the Planet of the Apes","La Guerra del Planeta de los Simios","César y sus simios son forzados a una guerra mortal contra un ejército de humanos."
"The Mist","La Niebla","Una misteriosa niebla envuelve un pueblo, trayendo consigo criaturas mortales."
"The Thing","La Cosa","Un equipo de investigación en la Antártida es atacado por un alienígena que puede imitar a cualquier ser vivo."
"Alien: Covenant","Alien: Covenant","La tripulación de una nave colonizadora descubre un planeta aparentemente paradisíaco, pero pronto se dan cuenta de que está habitado por una raza de androides y una forma de vida mortal."
